source,target,material,value
domestic,composting,apples,192.91477912641756
domestic,composting,bananas,189.59996062003964
domestic,composting,oranges,239.23459748464
domestic,landfill,apples,450.1344846283075
domestic,landfill,bananas,442.3999081134258
domestic,landfill,oranges,558.2140607974934
government,composting,bananas,172.73752943158865
government,composting,oranges,255.48274145069763
government,landfill,apples,306.2677814250475
government,landfill,bananas,416.7
government,landfill,oranges,596.1263967182945
industry,composting,apples,610.5464001346597
industry,composting,bananas,636.6105076245369
industry,composting,oranges,791.5295412390593
industry,landfill,apples,1424.6082669808725
industry,landfill,bananas,1485.424517790586
industry,landfill,oranges,1846.9022628911384
farm1,domestic,apples,266.71449563919293
farm1,government,apples,91.19563330462778
farm1,government,oranges,94.92608381100426
farm1,industry,apples,121.6426557138963
farm1,industry,oranges,187.96193611368602
farm2,domestic,bananas,109.87226834225967
farm2,domestic,oranges,91.69558101526594
farm2,government,apples,63.578266383989686
farm2,industry,bananas,195.0020220493967
farm2,industry,oranges,206.12231327321047
farm3,domestic,bananas,93.756723955776
farm3,industry,apples,400.9311102356863
farm3,industry,oranges,316.03289282905325
farm4,domestic,apples,376.3347681155322
farm4,domestic,bananas,428.37087643542986
farm4,domestic,oranges,705.7530772668674
farm4,government,bananas,741.4862079953793
farm4,government,oranges,756.6830543579879
farm4,industry,apples,1512.5809011659499
farm4,industry,bananas,1927.0330033657262
farm4,industry,oranges,1928.314661914248
